Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
113,2,2017-01-01 03:18:33,2017-01-01 03:39:09,1,5.15,1,N,20,199,2,27.68,0.0,0.5,0.0,0.0,0.3,28.48,2.5
114,2,2017-01-01 03:19:29,2017-01-01 03:24:52,1,10.94,1,N,107,201,1,32.07,0.5,0.5,4.83,0.0,0.3,38.2,0.0
115,2,2017-01-01 03:20:20,2017-01-01 03:29:29,1,3.96,1,N,40,209,1,17.71,0.0,0.5,2.9,0.0,0.3,21.41,0.0
116,2,2017-01-01 03:20:54,2017-01-01 03:36:15,3,3.02,1,N,72,191,2,18.3,0.0,0.5,0.0,0.0,0.3,19.1,0.0
117,1,2017-01-01 03:21:30,2017-01-01 03:27:42,1,1.4,1,N,244,91,1,9.37,0.5,0.5,1.74,0.0,0.3,12.41,2.5
118,2,2017-01-01 03:21:53,2017-01-01 03:41:37,1,3.77,1,N,252,76,1,23.84,0.5,0.5,3.13,0.0,0.3,28.27,0.0
119,2,2017-01-01 03:22:36,2017-01-01 04:12:44,1,1.46,1,N,200,192,2,31.07,0.5,0.5,0.0,0.0,0.3,32.37,2.5
120,2,2017-01-01 03:23:58,2017-01-01 03:37:56,2,1.41,1,N,215,57,1,14.2,0.0,0.5,3.42,0.0,0.3,18.42,2.5
121,2,2017-01-01 03:29:10,2017-01-01 03:54:15,1,3.96,1,N,51,126,2,24.77,0.0,0.5,0.0,0.0,0.3,25.57,0.0
122,1,2017-01-01 03:30:15,2017-01-01 03:36:23,1,2.26,1,N,203,235,2,12.75,0.0,0.5,0.0,0.0,0.3,13.55,2.5
123,1,2017-01-01 03:30:18,2017-01-01 03:39:56,2,0.47,1,N,111,203,2,8.54,0.0,0.5,0.0,0.0,0.3,9.34,2.5
124,1,2017-01-01 03:34:37,2017-01-01 04:04:42,1,16.54,1,N,71,149,1,58.19,0.0,0.5,12.04,0.0,0.3,71.03,2.5
125,1,2017-01-01 03:37:24,2017-01-01 03:43:10,1,0.98,1,N,35,257,2,5.8,1.0,0.5,0.0,0.0,0.3,7.6,2.5
126,2,2017-01-01 03:39:28,2017-01-01 03:48:35,4,2.4,1,N,214,187,2,14.92,0.5,0.5,0.0,0.0,0.3,16.22,2.5
127,2,2017-01-01 03:43:28,2017-01-01 04:16:51,2,1.19,5,N,126,236,1,21.26,0.0,0.5,2.85,0.0,0.3,24.91,2.5
128,1,2017-01-01 03:47:31,2017-01-01 03:57:18,1,2.39,1,N,106,176,1,12.19,0.0,0.5,2.29,0.0,0.3,15.28,2.5
129,2,2017-01-01 03:51:52,2017-01-01 03:55:33,1,2.09,1,N,36,156,1,7.77,0.5,0.5,0.94,0.0,0.3,10.01,2.5
130,1,2017-01-01 03:53:46,2017-01-01 04:03:52,1,1.75,1,N,243,208,2,12.69,1.0,0.5,0.0,0.0,0.3,14.49,2.5
131,1,2017-01-01 03:56:06,2017-01-01 04:46:56,1,2.7,2,N,116,171,2,33.35,0.0,0.5,0.0,5.76,0.3,39.91,0.0
132,1,2017-01-01 03:59:32,2017-01-01 04:40:37,1,1.31,1,N,127,9,1,25.61,0.0,0.5,3.2,0.0,0.3,29.61,2.5
133,1,2017-01-01 04:00:00,2017-01-01 04:14:11,1,4.34,1,N,217,65,2,18.65,0.5,0.5,0.0,0.0,0.3,19.95,2.5
134,2,2017-01-01 04:00:10,2017-01-01 04:12:54,1,4.02,1,N,66,194,2,19.21,0.0,0.5,0.0,0.0,0.3,20.01,2.5
135,1,2017-01-01 04:02:37,2017-01-01 05:20:49,2,3.05,1,N,130,147,1,50.5,0.0,0.5,6.33,0.0,0.3,57.63,0.0
136,2,2017-01-01 04:04:22,2017-01-01 04:12:09,1,4.35,1,N,203,231,1,14.95,0.5,0.5,1.98,0.0,0.3,18.23,2.5
137,2,2017-01-01 04:05:08,2017-01-01 04:14:42,1,6.3,1,N,1,186,1,22.11,0.5,0.5,3.69,0.0,0.3,27.1,2.5
138,1,2017-01-01 04:08:58,2017-01-01 04:40:27,1,1.01,1,N,197,246,1,23.14,0.5,0.5,2.35,0.0,0.3,26.79,2.5
139,2,2017-01-01 04:09:13,2017-01-01 04:17:23,1,9.69,1,N,200,109,1,34.06,0.5,0.5,4.15,0.0,0.3,39.51,2.5
140,2,2017-01-01 04:14:57,2017-01-01 04:34:20,1,10.16,1,N,238,242,2,38.07,0.0,0.5,0.0,0.0,0.3,38.87,2.5
141,1,2017-01-01 04:24:24,2017-01-01 04:30:42,1,5.52,1,N,11,60,1,19.09,0.0,0.5,4.56,0.0,0.3,24.45,2.5
142,2,2017-01-01 04:25:54,2017-01-01 05:08:28,1,2.27,1,N,19,211,2,28.17,0.5,0.5,0.0,0.0,0.3,29.47,2.5
143,1,2017-01-01 04:27:15,2017-01-01 04:38:19,1,14.3,1,N,141,150,2,43.74,0.0,0.5,0.0,0.0,0.3,44.54,2.5
144,1,2017-01-01 04:31:09,2017-01-01 04:40:40,1,6.71,3,N,250,65,2,21.47,0.0,0.5,0.0,6.12,0.3,28.39,2.5
145,1,2017-01-01 04:37:07,2017-01-01 04:45:25,1,0.94,1,N,190,256,2,7.3,0.0,0.5,0.0,0.0,0.3,8.1,2.5
146,2,2017-01-01 04:38:53,2017-01-01 04:45:35,1,2.19,1,N,224,24,2,8.9,0.0,0.5,0.0,0.0,0.3,9.7,2.5
147,2,2017-01-01 04:39:00,2017-01-01 04:50:44,2,4.56,1,N,242,50,3,17.56,0.0,0.5,0.0,0.0,0.3,18.36,2.5
148,1,2017-01-01 04:43:43,2017-01-01 04:46:35,1,1.12,1,N,163,233,1,7.84,0.5,0.5,0.92,0.0,0.3,10.06,2.5
149,1,2017-01-01 04:47:38,2017-01-01 04:54:37,1,6.63,2,N,131,176,1,20.63,0.0,0.5,4.93,5.76,0.3,32.12,2.5
150,2,2017-01-01 04:48:20,2017-01-01 05:03:30,1,2.5,1,N,146,11,1,14.57,0.0,0.5,3.1,0.0,0.3,18.47,2.5
151,1,2017-01-01 04:49:04,2017-01-01 05:05:01,1,1.38,1,N,145,118,1,12.68,0.0,0.5,2.53,0.0,0.3,16.01,2.5
152,1,2017-01-01 04:49:06,2017-01-01 05:03:22,4,2.54,1,N,260,109,1,15.01,1.0,0.5,1.7,0.0,0.3,18.51,2.5
153,2,2017-01-01 04:52:31,2017-01-01 05:01:20,1,1.91,1,N,168,218,1,11.64,0.0,0.5,2.9,0.0,0.3,15.34,2.5
154,2,2017-01-01 04:52:49,2017-01-01 05:36:05,4,0.8,1,N,36,102,3,26.82,0.0,0.5,0.0,0.0,0.3,27.62,2.5
155,1,2017-01-01 04:53:00,2017-01-01 05:20:33,2,2.81,1,N,144,183,2,23.23,1.0,0.5,0.0,0.0,0.3,25.03,2.5
156,2,2017-01-01 04:53:40,2017-01-01 05:07:36,3,2.12,2,N,1,180,1,13.47,0.0,0.5,1.96,6.12,0.3,22.35,2.5
157,2,2017-01-01 04:54:25,2017-01-01 05:08:15,1,3.16,3,N,156,81,1,20.69,0.5,0.5,2.34,6.12,0.3,30.45,2.5
158,1,2017-01-01 04:56:37,2017-01-01 05:07:22,1,1.29,6,N,55,115,2,11.49,0.5,0.5,0.0,0.0,0.3,12.79,2.5
159,2,2017-01-01 05:05:56,2017-01-01 05:15:29,3,3.27,1,N,213,239,1,14.95,0.0,0.5,2.01,0.0,0.3,17.76,2.5
160,1,2017-01-01 05:09:06,2017-01-01 05:22:32,5,17.74,2,N,206,8,1,52.89,0.0,0.5,8.35,8.0,0.3,70.04,0.0
161,2,2017-01-01 05:09:39,2017-01-01 05:38:43,2,1.14,1,Y,213,259,1,17.25,0.0,0.5,3.73,0.0,0.3,21.78,2.5
162,2,2017-01-01 05:14:36,2017-01-01 05:25:34,1,3.05,1,N,185,263,1,14.86,1.0,0.5,2.8,0.0,0.3,19.46,0.0
163,2,2017-01-01 05:16:35,2017-01-01 05:53:20,2,3.69,1,N,103,239,2,30.36,0.0,0.5,0.0,0.0,0.3,31.16,2.5
164,1,2017-01-01 05:18:10,2017-01-01 05:27:40,1,3.05,1,N,200,146,1,12.87,0.0,0.5,2.5,0.0,0.3,16.17,0.0
165,2,2017-01-01 05:19:02,2017-01-01 06:01:38,3,2.85,1,N,137,250,1,29.19,0.5,0.5,6.49,0.0,0.3,36.98,2.5
166,1,2017-01-01 05:19:11,2017-01-01 05:31:21,1,3.08,1,N,49,211,1,17.5,1.0,0.5,4.3,0.0,0.3,23.6,2.5
167,1,2017-01-01 05:25:57,2017-01-01 05:50:06,1,2.1,1,N,111,143,1,22.03,0.0,0.5,4.09,0.0,0.3,26.92,0.0
168,1,2017-01-01 05:27:07,2017-01-01 06:40:53,1,10.22,1,N,101,7,1,61.38,1.0,0.5,8.74,0.0,0.3,71.92,2.5
169,2,2017-01-01 05:28:18,2017-01-01 06:49:49,2,3.95,1,N,37,105,1,54.11,1.0,0.5,13.24,0.0,0.3,69.15,2.5
170,2,2017-01-01 05:33:29,2017-01-01 05:39:20,1,1.82,1,N,152,91,1,12.03,1.0,0.5,2.87,0.0,0.3,16.7,2.5
171,1,2017-01-01 05:33:42,2017-01-01 06:04:37,1,7.19,1,N,173,238,1,39.55,0.0,0.5,9.26,0.0,0.3,49.61,2.5
172,2,2017-01-01 05:34:49,2017-01-01 05:42:33,1,1.69,1,N,23,66,1,13.21,0.0,0.5,2.3,0.0,0.3,16.31,2.5
173,1,2017-01-01 05:36:03,2017-01-01 05:55:33,2,1.24,1,N,238,184,1,15.13,0.0,0.5,1.56,0.0,0.3,17.49,2.5
174,2,2017-01-01 05:36:21,2017-01-01 05:57:28,1,2.11,5,N,146,95,1,18.47,0.5,0.5,2.76,0.0,0.3,22.53,0.0
